course_id,course_name,credits,interest,level,prerequisites
CS101,Intro to Programming,4,Core,1,None
CS201,Data Structures,4,Core,2,CS101
CS301,Algorithms,4,Core,3,CS201
MATH101,Calculus I,3,Math,1,None
MATH201,Linear Algebra,3,Math,2,MATH101
AI401,Machine Learning,4,AI,4,"CS301, MATH201"
AI402,Deep Learning,4,AI,4,CS301
SEC401,Network Security,4,Security,4,CS301
DS401,Big Data Analytics,4,Data Science,4,"MATH201, CS201"
DS201,Data Visualization,3,Data Science,2,CS201
CS401,Software Engineering,4,Core,4,CS301
AI301,Intro to AI,3,AI,3,CS201
SEC301,Cyber Security,3,Security,3,CS201
ELEC1,Cloud Computing,3,Systems,3,CS201
ELEC2,Blockchain,3,Security,3,CS201
